City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
69,Ponta Delgada,PT,37.7333,-25.6667,52.52,76,20,5.75,few clouds
70,Aksarka,RU,66.5606,67.7975,11.73,88,94,8.1,overcast clouds
71,Caravelas,BR,-17.7125,-39.2481,75.63,87,9,4.99,clear sky
72,Surt,LY,31.2089,16.5887,61.3,35,44,17.65,scattered clouds
73,Noyabrsk,RU,63.1994,75.4507,2.05,97,87,9.33,overcast clouds
74,Manzini,SZ,-26.25,31.5,69.12,93,61,2.57,broken clouds
75,Praia Da Vitoria,PT,38.7333,-27.0667,52.75,100,0,4.43,clear sky
76,Avarua,CK,-21.2078,-159.775,78.85,89,75,6.91,light rain
77,Bluff,NZ,-46.6,168.3333,62.15,71,24,1.7,few clouds
78,Kaabong,UG,3.4836,34.1492,68.22,33,25,5.93,scattered clouds
79,Cherskiy,RU,68.75,161.3,-43.4,99,100,3.85,overcast clouds
80,Berlevag,NO,70.8578,29.0864,28.35,74,75,13.8,broken clouds
81,Cockburn Town,TC,21.4612,-71.1419,76.12,60,25,17.0,scattered clouds
82,Orlik,RU,52.5178,99.825,-31.41,96,32,2.93,scattered clouds
83,Puerto Madryn,AR,-42.7692,-65.0385,74.19,64,60,20.07,broken clouds
84,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,20.71,moderate rain
85,Ankazobe,MG,-18.3167,47.1167,61.29,84,89,14.7,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,-21.77,76,75,4.61,broken clouds
87,Namatanai,PG,-3.6667,152.4333,82.85,74,67,5.59,broken clouds
88,La Tuque,CA,47.4334,-72.7824,32.25,69,97,11.5,overcast clouds
89,Batsfjord,NO,70.6345,29.7185,28.33,93,100,27.63,overcast clouds
90,Borogontsy,RU,62.6683,131.1683,-57.82,100,99,2.59,overcast clouds
91,Urumqi,CN,43.801,87.6005,-10.25,84,75,2.24,fog
92,Saint-Philippe,RE,-21.3585,55.7679,76.12,90,100,13.85,moderate rain
