City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Goderich,CA,2023-01-12 22:27:55,43.7501,-81.7165,37.9,87,100,11.5
59,Mataura,NZ,2023-01-12 22:29:44,-46.1927,168.8643,63.37,52,38,1.72
60,Antofagasta,CL,2023-01-12 22:29:45,-23.65,-70.4,69.08,73,27,8.77
61,Bethel,US,2023-01-12 22:29:45,41.3712,-73.414,46.89,88,100,8.05
62,Tolmezzo,IT,2023-01-12 22:29:46,46.4075,13.0175,38.43,85,91,4.27
63,Panjab,AF,2023-01-12 22:29:47,34.388,67.0233,-27.33,99,56,6.53
64,Georgetown,MY,2023-01-12 22:25:49,5.4112,100.3354,78.73,92,20,0.0
65,Bushenyi,UG,2023-01-12 22:29:47,-0.5853,30.2114,61.07,78,81,2.39
66,Ushtobe,KZ,2023-01-12 22:29:48,45.2514,77.9838,-5.98,85,14,3.62
67,Iqaluit,CA,2023-01-12 22:29:49,63.7506,-68.5145,-13.27,83,100,3.44
68,Revda,RU,2023-01-12 22:29:49,56.801,59.9303,7.02,86,100,16.64
69,Naze,JP,2023-01-12 22:29:49,28.3667,129.4833,65.32,69,96,17.54
70,Colorines,MX,2023-01-12 22:29:50,19.2,-100.1667,73.9,28,20,4.83
71,Tiksi,RU,2023-01-12 22:29:51,71.6872,128.8694,-40.14,98,93,6.85
72,Butaritari,KI,2023-01-12 22:29:51,3.0707,172.7902,80.02,81,45,14.56
73,Torbay,CA,2023-01-12 22:29:52,47.6666,-52.7314,18.75,82,20,9.22
74,Avarua,CK,2023-01-12 22:29:52,-21.2078,-159.775,78.85,73,75,11.5
75,Eyl,SO,2023-01-12 22:29:53,7.9803,49.8164,74.21,68,40,17.6
76,Punta Arenas,CL,2023-01-12 22:26:35,-53.15,-70.9167,62.71,59,40,35.68
77,Mildura,AU,2023-01-12 22:25:21,-34.2,142.15,78.08,54,23,9.42
78,Guerrero Negro,MX,2023-01-12 22:29:54,27.9769,-114.0611,75.85,23,6,4.63
79,Port Hueneme,US,2023-01-12 22:29:54,34.1478,-119.1951,71.46,39,0,16.11
80,Sakakah,SA,2023-01-12 22:29:55,29.9697,40.2064,45.97,67,49,8.3
81,Lhokseumawe,ID,2023-01-12 22:29:56,5.1801,97.1507,75.79,89,74,4.18
82,Altay,CN,2023-01-12 22:29:56,47.8667,88.1167,-18.15,69,4,6.38
83,Hithadhoo,MV,2023-01-12 22:29:56,-0.6,73.0833,78.67,77,67,10.83
84,Whitehorse,CA,2023-01-12 22:29:32,60.7161,-135.0538,24.53,94,100,2.53
85,Kailua,US,2023-01-12 22:29:57,21.4022,-157.7394,80.58,52,40,5.75
86,Bardiyah,LY,2023-01-12 22:29:58,31.7561,25.0865,57.29,66,36,15.73
87,Ongandjera,NA,2023-01-12 22:29:59,-17.8833,15.0667,81.54,45,100,6.02
88,Tsiroanomandidy,MG,2023-01-12 22:29:59,-18.7667,46.0333,68.32,93,100,3.53
89,Vaini,TO,2023-01-12 22:30:00,-21.2,-175.2,84.36,84,40,12.66
90,Teruel,ES,2023-01-12 22:31:00,40.6667,-0.6667,37.81,40,83,5.17
91,Agboville,CI,2023-01-12 22:31:01,5.928,-4.2132,75.09,89,75,3.0
92,Cherskiy,RU,2023-01-12 22:31:01,68.75,161.3,-30.73,100,100,6.42
93,Namibe,AO,2023-01-12 22:31:02,-15.1961,12.1522,72.64,81,100,9.89
94,Mecca,SA,2023-01-12 22:26:41,21.4267,39.8261,69.15,60,73,7.61
95,Mantua,IT,2023-01-12 22:31:05,45.1667,10.7833,40.98,89,90,1.01
96,Mahebourg,MU,2023-01-12 22:31:06,-20.4081,57.7,75.25,94,40,0.0
97,Tibu,CO,2023-01-12 22:31:10,8.639,-72.7358,74.08,96,100,1.19
